divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
Open Div 2,1200.0,-2.8,Summer,24593,WiPPs,Club,2008,1032.0
Metro Coed,0.0,7.0,Summer,25783,Discus Maximus (9),Hat,2008,420.0
Metro Coed,0.0,1.4,Summer,25784,Blue Skies Beijing (10),Hat,2008,84.0
Metro Coed,0.0,0.111111111111,Summer,25785,Free Tibet! (11),Hat,2008,6.66666666666
Metro Coed,0.0,-5.44444444444,Summer,25786,The Merlot Riders (12),Hat,2008,-326.666666666
Metro Coed,0.0,-6.0,Summer,25787,100 Metre Huck (13),Hat,2008,-360.0
Metro Coed,0.0,1.88888888889,Summer,25788,Lavender Javelin (14),Hat,2008,113.333333333
Metro Coed,0.0,-1.85714285714,Summer,25789,Nameless Blue Torch (15),Hat,2008,-111.428571428
Metro Coed,0.0,3.57142857143,Summer,25790,Red Army (16),Hat,2008,214.285714286
Metro Coed,0.0,0.125,Summer,25791,Brown Haze (17),Hat,2008,7.5
Metro Coed,0.0,5.33333333333,Summer,25792,Cool Runnings (18),Hat,2008,320.0
Metro Coed,0.0,-5.44444444444,Summer,25793,Disc Us (19),Hat,2008,-326.666666666
Metro Coed,0.0,-2.33333333333,Summer,25794,Red Ring Discus (20),Hat,2008,-140.0
Metro Coed,0.0,1.71428571429,Summer,25795,The Purple's Republic (21),Hat,2008,102.857142857
Metro Coed,0.0,-1.25,Summer,25796,Huckules (22),Hat,2008,-75.0
Metro Coed,0.0,-3.71428571429,Summer,25797,Performance Enhancing Drunks (23),Hat,2008,-222.857142857
Metro Coed,0.0,4.85714285714,Summer,25798,Hibiscus Discus (24),Hat,2008,291.428571428
Metro Mixed (4/3),0.0,-1.5,Summer,25775,Fool's Gold (1),Hat,2008,-90.0
Metro Mixed (4/3),0.0,3.11111111111,Summer,25776,Cool Huckings (2),Hat,2008,186.666666667
Metro Mixed (4/3),0.0,0.2,Summer,25777,Synchronized Slinging (3),Hat,2008,12.0
Metro Mixed (4/3),0.0,2.22222222222,Summer,25778,The Agony Of 30 Feet (4),Hat,2008,133.333333333
Metro Mixed (4/3),0.0,2.42857142857,Summer,25779,One Disc One Dream (5),Hat,2008,145.714285714
Metro Mixed (4/3),0.0,5.0,Summer,25780,Zeus (6),Hat,2008,300.0
Metro Mixed (4/3),0.0,-2.125,Summer,25781,Performance Enhancing Hucks (7),Hat,2008,-127.5
Metro Mixed (4/3),0.0,-7.5,Summer,25782,The Great Leap Forward (8),Hat,2008,-450.0
